"ID","animeID","genreID"
"116","315","1"
"1501","315","6"
"117","316","1"
"1502","316","6"
"118","317","1"
"1193","317","4"
"1503","317","6"
"119","319","1"
"120","320","1"
"1969","320","13"
"2487","320","17"
"121","321","1"
"472","321","2"
"1194","321","4"
"1504","321","6"
"122","322","1"
"123","323","1"
"473","323","2"
"124","325","1"
"474","325","2"
"2488","325","17"
"125","326","1"
"475","326","2"
"126","327","1"
"745","327","3"
"1195","327","4"
"1970","327","13"
"2489","327","17"
"476","328","2"
"746","328","3"
"1505","328","6"
"1196","329","4"
"2208","329","16"
"2655","329","18"
"747","330","3"
"1506","330","6"
"1836","331","9"
"127","332","1"
"748","332","3"
"1507","333","6"
"2209","334","16"
"749","335","3"
"1508","335","6"
"2210","335","16"
"1971","336","13"
"2490","336","17"
"2491","337","17"
"1197","338","4"
"1198","339","4"
"2492","339","17"
"2656","339","18"
"750","340","3"
"1199","340","4"
"128","341","1"
"751","341","3"
"1200","341","4"
"1972","341","13"
"2493","341","17"
"129","342","1"
"1201","342","4"
"1973","342","13"
"2494","342","17"
"130","343","1"
"1202","343","4"
"1974","343","13"
"2495","343","17"
"131","344","1"
"752","344","3"
"1975","344","13"
"132","345","1"
"477","345","2"
"1203","345","4"
"1509","345","6"
"2657","345","18"
"133","346","1"
"478","346","2"
"1204","346","4"
"1510","346","6"
"479","347","2"
"1205","347","4"
"1511","347","6"
"1923","347","12"
"2211","347","16"
"480","348","2"
"1206","348","4"
"1512","348","6"
"1924","348","12"
"2212","348","16"
"481","349","2"
"1207","349","4"
"1513","349","6"
"1925","349","12"
"2213","349","16"
"134","350","1"
"2496","350","17"
"1208","352","4"
"2033","352","14"
"2214","352","16"
"753","353","3"
"754","354","3"
"755","355","3"
"135","356","1"
"756","356","3"
"757","357","3"
"1209","357","4"
"2215","357","16"
"758","358","3"
"1210","358","4"
"1760","358","8"
"2216","358","16"
"2497","360","17"
"136","361","1"
"482","361","2"
"1211","361","4"
"2098","361","15"
"2498","361","17"
"759","363","3"
"2217","363","16"
"137","364","1"
"1212","364","4"
"1213","366","4"
"2499","366","17"
"138","367","1"
"483","367","2"
"1214","367","4"
"1514","367","6"
"1976","367","13"
"2500","367","17"
"139","368","1"
"1515","368","6"
"2501","368","17"
"1215","369","4"
"1977","369","13"
"2502","369","17"
"140","370","1"
"2503","370","17"
"141","371","1"
"484","371","2"
"1516","371","6"
"760","373","3"
"142","374","1"
"485","374","2"
"761","374","3"
"1517","374","6"
"143","375","1"
"1978","375","13"
"2504","375","17"
"762","376","3"
"144","377","1"
"763","377","3"
"486","378","2"
"1216","378","4"
"1837","378","9"
"764","379","3"
"145","381","1"
"1979","381","13"
"2505","381","17"
"146","382","1"
"1838","382","9"
"2218","385","16"
"765","386","3"
"1889","386","11"
"2219","387","16"
"147","388","1"
"148","389","1"
"2506","389","17"
"1217","390","4"
"2034","390","14"
"2220","390","16"
"766","391","3"
"1761","391","8"
"2221","392","16"
"1218","393","4"
"2222","393","16"
"149","394","1"
"487","394","2"
"1980","394","13"
"2507","394","17"
"150","395","1"
"488","395","2"
"1518","395","6"
"151","396","1"
"2508","396","17"
"152","397","1"
"489","397","2"
"1981","397","13"
"2509","397","17"
"490","399","2"
"767","399","3"
"1519","399","6"
"153","400","1"
"491","400","2"
"1219","400","4"
"1839","400","9"
"2099","400","15"
"768","401","3"
"1220","401","4"
"2223","401","16"
"154","402","1"
"769","402","3"
"2224","402","16"
"2510","402","17"
"155","403","1"
"1982","403","13"
"2511","403","17"
"770","404","3"
"1983","405","13"
"492","406","2"
"1520","406","6"
"156","407","1"
"493","407","2"
"1521","407","6"
"771","409","3"
"772","410","3"
"1221","410","4"
"773","411","3"
"774","412","3"
"157","413","1"
"1222","413","4"
"1984","413","13"
"2512","413","17"
"158","414","1"
"1985","414","13"
"2513","414","17"
"159","415","1"
"1986","415","13"
"2514","415","17"
"160","416","1"
"2515","416","17"
"775","417","3"
"1223","417","4"
"161","418","1"
"776","418","3"
"1987","418","13"
"2516","418","17"
"1224","419","4"
"2225","419","16"
"777","420","3"
"494","421","2"
"778","421","3"
"162","424","1"
"1225","424","4"
"2100","424","15"
"163","425","1"
"1522","425","6"
"779","426","3"
"495","429","2"
"1523","429","6"
"164","430","1"
"780","430","3"
"1226","430","4"
"2101","430","15"
"2226","431","16"
"496","432","2"
"781","432","3"
"1227","433","4"
"2227","433","16"
"782","434","3"
"165","435","1"
"2517","435","17"
"1228","436","4"
"1524","437","6"
"1762","437","8"
"2228","437","16"
"783","438","3"
"2229","438","16"
"1229","441","4"
"784","442","3"
"166","443","1"
"785","443","3"
"1763","443","8"
"2230","443","16"
"1230","446","4"
"1231","447","4"
"2231","447","16"
"167","449","1"
"2518","449","17"
"1988","450","13"
"786","451","3"
"2519","451","17"
"787","452","3"
"168","454","1"
"2520","454","17"
"169","455","1"
"497","455","2"
"1525","455","6"
"1926","455","12"
"1526","456","6"
"2232","456","16"
"1527","458","6"
"788","459","3"
"1764","459","8"
"789","460","3"
